=== WYNIKI TRENINGU ===


=== REP 0 ===
avg_pos_score 0.8749809265136719, avg_neg_score 0.13283328711986542
avg_pos_score 0.8725522756576538, avg_neg_score 0.12799085676670074
avg_pos_score 0.8614098429679871, avg_neg_score 0.12037580460309982
avg_pos_score 0.9001920819282532, avg_neg_score 0.1459168642759323
avg_pos_score 0.8192479610443115, avg_neg_score 0.08872059732675552
avg_pos_score 0.909695029258728, avg_neg_score 0.14012092351913452
avg_pos_score 0.8687623143196106, avg_neg_score 0.10621799528598785
avg_pos_score 0.8943843841552734, avg_neg_score 0.1226249635219574
avg_pos_score 0.870746374130249, avg_neg_score 0.10387056320905685
avg_pos_score 0.9219506978988647, avg_neg_score 0.14052584767341614
avg_pos_score 0.8281673192977905, avg_neg_score 0.07535573840141296
avg_pos_score 0.9026421308517456, avg_neg_score 0.11473097652196884
avg_pos_score 0.9104492664337158, avg_neg_score 0.11992814391851425
avg_pos_score 0.8130055069923401, avg_neg_score 0.0660700798034668
avg_pos_score 0.908883810043335, avg_neg_score 0.11114941537380219
avg_pos_score 0.9179670214653015, avg_neg_score 0.11582599580287933
avg_pos_score 0.8250606656074524, avg_neg_score 0.06297460198402405
avg_pos_score 0.9027683138847351, avg_neg_score 0.10177024453878403
avg_pos_score 0.9331324696540833, avg_neg_score 0.12464003264904022
avg_pos_score 0.8478076457977295, avg_neg_score 0.07071511447429657
avg_pos_score 0.913364589214325, avg_neg_score 0.1040988340973854
avg_pos_score 0.9094753265380859, avg_neg_score 0.09552745521068573
avg_pos_score 0.8884606957435608, avg_neg_score 0.08161007612943649
avg_pos_score 0.94597327709198, avg_neg_score 0.13021278381347656
avg_pos_score 0.891159176826477, avg_neg_score 0.08598057925701141
avg_pos_score 0.898177981376648, avg_neg_score 0.08992775529623032
avg_pos_score 0.9376195669174194, avg_neg_score 0.11409880965948105
avg_pos_score 0.8486323356628418, avg_neg_score 0.0630234032869339
avg_pos_score 0.8968106508255005, avg_neg_score 0.07971999794244766
avg_pos_score 0.9530356526374817, avg_neg_score 0.13661432266235352
avg_pos_score 0.9199821352958679, avg_neg_score 0.11438070237636566
avg_pos_score 0.8785865306854248, avg_neg_score 0.07270421832799911
avg_pos_score 0.9225957989692688, avg_neg_score 0.11447974294424057
avg_pos_score 0.9147265553474426, avg_neg_score 0.10831014066934586
avg_pos_score 0.8875977396965027, avg_neg_score 0.06928493082523346
avg_pos_score 0.9229043126106262, avg_neg_score 0.09830718487501144
avg_pos_score 0.9374676942825317, avg_neg_score 0.10845993459224701
avg_pos_score 0.8503550887107849, avg_neg_score 0.06433457881212234
avg_pos_score 0.8926647901535034, avg_neg_score 0.07974089682102203
avg_pos_score 0.9480618834495544, avg_neg_score 0.1106259748339653
avg_pos_score 0.8963032364845276, avg_neg_score 0.07780233770608902
avg_pos_score 0.9003586173057556, avg_neg_score 0.07432863116264343
avg_pos_score 0.9441730380058289, avg_neg_score 0.12092142552137375
avg_pos_score 0.9083055853843689, avg_neg_score 0.1030217781662941
avg_pos_score 0.8772405982017517, avg_neg_score 0.06918449699878693
avg_pos_score 0.9213239550590515, avg_neg_score 0.09062492847442627
avg_pos_score 0.9394307136535645, avg_neg_score 0.10061545670032501
avg_pos_score 0.9023980498313904, avg_neg_score 0.07361727207899094
avg_pos_score 0.8976684212684631, avg_neg_score 0.07677003741264343
avg_pos_score 0.9355562329292297, avg_neg_score 0.10182756930589676
avg_pos_score 0.8993251919746399, avg_neg_score 0.07601061463356018
avg_pos_score 0.9298974275588989, avg_neg_score 0.08554597198963165
avg_pos_score 0.9236195683479309, avg_neg_score 0.08320022374391556
avg_pos_score 0.9020527601242065, avg_neg_score 0.06845050305128098
avg_pos_score 0.9297836422920227, avg_neg_score 0.08794717490673065
avg_pos_score 0.9276007413864136, avg_neg_score 0.08231499791145325
avg_pos_score 0.9090949892997742, avg_neg_score 0.06905747205018997
avg_pos_score 0.9431312084197998, avg_neg_score 0.09020856022834778
avg_pos_score 0.9009677767753601, avg_neg_score 0.062074970453977585
avg_pos_score 0.9456411004066467, avg_neg_score 0.0903528556227684
avg_pos_score 0.9063917994499207, avg_neg_score 0.06200607493519783
avg_pos_score 0.9398913979530334, avg_neg_score 0.08132847398519516
avg_pos_score 0.9186225533485413, avg_neg_score 0.06724099069833755
avg_pos_score 0.9493718147277832, avg_neg_score 0.08379250019788742
avg_pos_score 0.8939098715782166, avg_neg_score 0.05024571716785431
avg_pos_score 0.9428501725196838, avg_neg_score 0.07771702855825424
Fold 0 FINAL: Loss=0.1296, TP=16, TN=123373, FP=2384, FN=51
Metrics: Acc=0.9806, Rec=0.2388, Prec=0.0067, F1=0.0130
avg_pos_score 0.5148463249206543, avg_neg_score 0.49695757031440735
avg_pos_score 0.42854616045951843, avg_neg_score 0.08638852089643478
avg_pos_score 0.9330896139144897, avg_neg_score 0.5629796981811523
avg_pos_score 0.8729339838027954, avg_neg_score 0.2477656602859497
avg_pos_score 0.5120017528533936, avg_neg_score 0.04291529580950737
avg_pos_score 0.54414963722229, avg_neg_score 0.06099261716008186
avg_pos_score 0.8406785726547241, avg_neg_score 0.2053103893995285
avg_pos_score 0.9123855233192444, avg_neg_score 0.27724701166152954
avg_pos_score 0.8323444128036499, avg_neg_score 0.1968402862548828
avg_pos_score 0.7471492290496826, avg_neg_score 0.12841397523880005
avg_pos_score 0.8016049861907959, avg_neg_score 0.15853068232536316
avg_pos_score 0.8585274815559387, avg_neg_score 0.17746907472610474
avg_pos_score 0.8547092080116272, avg_neg_score 0.14604997634887695
avg_pos_score 0.8535466194152832, avg_neg_score 0.13240037858486176
